year,team,recruiting_avg,recruiting_points,overall_avg,overall_points,transfer_avg,transfer_points
2012,colorado,84.07,203.71,,,,
2012,colorado state,74.87,74.75,,,,
2012,columbia,76.67,6.67,,,,
2012,cornell,73.33,6.67,,,,
2012,dartmouth,76.47,19.37,,,,
2012,delaware,70.49,0.98,,,,
2012,delaware state,80.48,10.48,,,,
2012,duke,82.09,165.02,,,,
2012,east carolina,79.86,133.06,,,,
2012,eastern kentucky,77.49,7.49,,,,
2012,eastern michigan,75.92,96.95,,,,
2012,eastern washington,82.35,24.65,,,,
2012,elon,76.67,6.67,,,,
2012,fiu,77.8,134.46,,,,
2012,florida,91.78,290.27,,,,
2012,florida atlantic,77.11,125.72,,,,
2012,florida state,92.93,290.11,,,,
2012,fresno state,77.36,89.62,,,,
2012,furman,73.31,3.31,,,,
2012,gardner-webb,77.44,22.12,,,,
2012,georgia,91.51,273.57,,,,
2012,georgia southern,82.59,25.1,,,,
2012,georgia state,77.16,28.35,,,,
2012,georgia tech,85.04,183.42,,,,
2012,grambling state,76.67,6.67,,,,
2012,hampton,75.96,17.8,,,,
2012,harvard,73.33,6.67,,,,
2012,hawaii,77.9,124.09,,,,
2012,houston,81.35,176.32,,,,
2012,idaho,76.01,96.07,,,,
2012,idaho state,76.5,6.5,,,,
2012,illinois,82.79,162.09,,,,
2012,indiana,82.42,175.53,,,,
2012,iowa,84.14,201.08,,,,
2012,iowa state,81.81,155.41,,,,
2012,james madison,77.14,54.11,,,,
2012,kansas,79.36,128.07,,,,
2012,kansas state,79.95,139.67,,,,
2012,kent state,76.81,105.08,,,,
2012,kentucky,83.72,187.81,,,,
2012,lamar,81.11,11.11,,,,
2012,lehigh,80.54,10.54,,,,
2012,liberty,81.35,22.63,,,,
2012,louisiana,76.24,97.59,,,,
2012,louisiana tech,79.12,111.9,,,,
2012,louisville,84.74,194.36,,,,
2012,lsu,89.39,252.55,,,,
2012,marshall,78.64,134.93,,,,
2012,maryland,84.88,204.96,,,,
2012,massachusetts,74.99,19.91,,,,
2012,mcneese,80.62,21.19,,,,
2012,memphis,77.13,116.8,,,,
2012,miami (fl),87.89,268.93,,,,
2012,miami (oh),78.11,121.01,,,,
2012,michigan,91.0,281.12,,,,
2012,michigan state,86.16,210.77,,,,
2012,middle tennessee,76.0,87.49,,,,
2012,minnesota,81.85,171.0,,,,
2012,mississippi state,85.99,227.14,,,,
2012,missouri,86.8,212.4,,,,
2012,monmouth,78.39,8.39,,,,
2012,montana,81.2,11.2,,,,
2012,montana state,77.32,7.32,,,,
2012,navy,77.32,89.01,,,,
2012,nc state,84.3,183.7,,,,
2012,nebraska,87.91,213.77,,,,
2012,nevada,78.4,135.19,,,,
2012,new mexico,76.4,113.27,,,,
2012,new mexico state,78.39,120.43,,,,
2012,norfolk state,76.36,6.36,,,,
2012,north carolina,85.24,199.55,,,,
2012,north carolina central,74.98,4.98,,,,
2012,north dakota,76.67,6.67,,,,
2012,north texas,77.19,108.78,,,,
2012,northern colorado,76.67,6.67,,,,
2012,northern illinois,74.68,104.53,,,,
2012,northern iowa,75.91,17.64,,,,
2012,northwestern,83.57,178.76,,,,
2012,notre dame,91.21,248.21,,,,
2012,ohio,78.13,116.72,,,,
2012,ohio state,91.47,286.13,,,,
2012,oklahoma,89.69,255.08,,,,
2012,oklahoma state,85.59,213.82,,,,
2012,old dominion,74.73,40.57,,,,
2012,ole miss,84.58,190.69,,,,
2012,oregon,88.51,251.25,,,,
2012,oregon state,83.69,195.63,,,,
2012,penn state,84.99,192.63,,,,
2012,pennsylvania,80.62,21.17,,,,
2012,pittsburgh,85.8,198.81,,,,
2012,portland state,78.94,26.61,,,,
2012,presbyterian,75.98,5.98,,,,
2012,princeton,75.12,10.24,,,,
2012,purdue,82.89,188.27,,,,
2012,rice,78.68,123.63,,,,
2012,richmond,74.35,4.35,,,,
2012,rutgers,87.6,226.24,,,,
2012,san diego state,79.83,139.37,,,,
2012,san jose state,77.33,103.14,,,,
2012,smu,81.3,149.82,,,,
2012,south alabama,77.89,93.33,,,,
2012,south carolina,88.55,248.77,,,,
2012,south carolina state,78.64,58.91,,,,
2012,south dakota state,76.67,6.67,,,,
2012,southeast missouri state,79.99,9.99,,,,
2012,southern illinois,75.31,10.61,,,,
2012,southern miss,80.07,150.61,,,,
2012,southern utah,76.67,6.67,,,,
2012,stanford,90.52,275.98,,,,
2012,syracuse,81.74,170.44,,,,
2012,tarleton state,85.87,15.87,,,,
2012,tcu,86.19,219.37,,,,
2012,temple,78.38,139.63,,,,
2012,tennessee,88.47,242.81,,,,
2012,tennessee state,76.48,19.26,,,,
2012,texas,92.15,300.12,,,,
2012,texas a&m,89.99,248.67,,,,
2012,texas southern,79.93,9.93,,,,
2012,texas state,79.96,94.09,,,,
2012,texas tech,85.4,220.7,,,,
2012,the citadel,74.31,4.31,,,,
2012,toledo,78.68,138.36,,,,
2012,towson,80.79,10.79,,,,
2012,troy,76.69,111.64,,,,
2012,tulane,80.08,124.65,,,,
2012,tulsa,78.97,120.37,,,,
2012,uab,76.28,96.91,,,,
2012,ucf,79.6,113.11,,,,
2012,ucla,86.96,247.77,,,,
2012,uconn,80.44,143.96,,,,
2012,ul monroe,76.59,89.23,,,,
2012,unlv,77.88,106.3,,,,
2012,usc,92.64,274.18,,,,
2012,usf,84.24,181.93,,,,
2012,utah,83.88,204.91,,,,
2012,utah state,78.12,96.05,,,,
2012,utep,76.39,102.75,,,,
2012,utsa,80.84,62.13,,,,
2012,vanderbilt,84.98,194.25,,,,
2012,virginia,85.35,223.88,,,,
2012,virginia military institute,77.66,15.27,,,,
2012,virginia tech,86.46,231.41,,,,
2012,wagner,83.76,13.76,,,,
2012,wake forest,82.74,156.07,,,,
2012,washington,85.4,225.52,,,,
2012,washington state,82.2,173.37,,,,
2012,weber state,77.99,7.99,,,,
2012,west virginia,84.79,206.7,,,,
2012,western carolina,74.98,4.98,,,,
2012,western illinois,80.55,10.55,,,,
2012,western kentucky,80.3,111.94,,,,
2012,western michigan,76.94,120.13,,,,
2012,william & mary,75.55,11.07,,,,
2012,wisconsin,85.43,160.75,,,,
2012,wyoming,75.29,92.41,,,,
2012,yale,76.22,18.55,,,,
2012,youngstown state,77.22,28.33,,,,
2013,abilene christian,83.99,13.99,,,,
2013,air force,76.76,106.74,,,,
2013,akron,77.51,97.64,,,,
2013,alabama,93.25,319.5,,,,
2013,alabama a&m,79.99,9.99,,,,
2013,alabama state,78.12,8.12,,,,
2013,albany,81.02,32.8,,,,
2013,alcorn state,76.61,26.36,,,,
2013,appalachian state,75.79,78.64,,,,
2013,arizona,83.07,188.91,,,,
2013,arizona state,84.14,192.78,,,,
2013,arkansas,84.95,216.6,,,,
2013,arkansas state,78.2,113.75,,,,
2013,army,77.06,74.07,,,,
2013,auburn,89.12,267.46,,,,
2013,austin peay,80.53,21.02,,,,
2013,ball state,78.14,107.69,,,,
2013,baylor,84.68,209.23,,,,
2013,bethune-cookman,72.67,23.74,,,,
2013,boise state,83.13,173.51,,,,
2013,boston college,80.98,126.19,,,,
2013,bowling green,79.28,131.36,,,,
2013,brown,81.99,11.99,,,,
2013,bucknell,73.9,7.79,,,,
2013,buffalo,75.33,72.53,,,,
2013,byu,79.72,152.55,,,,
2013,california,83.96,190.85,,,,
2013,central arkansas,79.71,28.88,,,,
2013,central michigan,77.68,108.05,,,,
2013,charlotte,75.49,100.75,,,,
2013,chattanooga,77.01,34.29,,,,
2013,cincinnati,82.4,162.33,,,,
2013,clemson,88.46,249.66,,,,
2013,coastal carolina,79.06,35.72,,,,
2013,colgate,73.28,9.83,,,,
2013,colorado,81.51,151.29,,,,
2013,colorado state,79.63,132.61,,,,
2013,columbia,80.79,10.79,,,,
2013,dartmouth,71.65,3.31,,,,
2013,delaware,79.63,28.63,,,,
2013,duke,81.81,148.96,,,,
2013,duquesne,78.6,25.58,,,,
2013,east carolina,79.53,146.66,,,,
2013,eastern michigan,76.49,98.58,,,,
2013,eastern washington,81.98,23.93,,,,
2013,elon,71.97,1.97,,,,
2013,fiu,77.25,98.08,,,,
2013,florida,90.74,291.89,,,,
2013,florida a&m,77.85,15.66,,,,
2013,florida atlantic,78.85,119.58,,,,
2013,florida state,89.16,262.69,,,,
2013,fordham,78.51,8.51,,,,
2013,fresno state,80.13,142.76,,,,
2013,furman,76.41,37.08,,,,
2013,gardner-webb,75.98,5.98,,,,
2013,georgetown,70.0,0.0,,,,
2013,georgia,88.51,260.38,,,,
2013,georgia southern,76.17,40.99,,,,
2013,georgia state,76.34,101.05,,,,
2013,georgia tech,83.56,149.34,,,,
2013,grambling state,76.67,6.67,,,,
2013,grand valley state,82.4,24.73,,,,
2013,harvard,77.83,51.51,,,,
2013,hawaii,79.86,139.5,,,,
2013,houston,82.6,171.4,,,,
2013,houston christian,76.33,12.64,,,,
2013,idaho,75.94,80.11,,,,
2013,illinois,82.94,176.35,,,,
2013,illinois state,81.06,22.06,,,,
2013,indiana,83.35,190.33,,,,
2013,indiana state,77.28,28.73,,,,
2013,iowa,82.59,171.96,,,,
2013,iowa state,82.07,159.52,,,,
2013,jackson state,79.48,28.24,,,,
2013,jacksonville,84.62,14.62,,,,
2013,jacksonville state,80.75,42.28,,,,
2013,james madison,83.66,13.66,,,,
2013,kansas,82.67,180.28,,,,
2013,kansas state,82.11,158.71,,,,
2013,kent state,76.69,95.27,,,,
2013,kentucky,84.86,195.55,,,,
2013,lamar,84.99,14.99,,,,
2013,lehigh,80.08,20.11,,,,
2013,louisiana,80.05,138.35,,,,
2013,louisiana tech,78.46,124.51,,,,
2013,louisville,85.89,194.03,,,,
2013,lsu,91.03,281.05,,,,
2013,maine,77.32,7.32,,,,
2013,marshall,82.07,170.81,,,,
2013,maryland,84.34,193.11,,,,
2013,massachusetts,77.37,112.55,,,,
2013,mcneese,75.42,16.23,,,,
2013,memphis,77.45,123.56,,,,
2013,miami (fl),88.4,249.66,,,,
2013,miami (oh),77.81,107.36,,,,
2013,michigan,90.95,288.74,,,,
2013,michigan state,85.49,193.96,,,,
2013,middle tennessee,78.31,125.23,,,,
2013,minnesota,82.53,152.11,,,,
2013,mississippi state,86.22,214.76,,,,
2013,missouri,84.97,189.91,,,,
2013,montana,76.72,19.94,,,,
2013,montana state,92.21,22.21,,,,
2013,murray state,76.83,33.47,,,,
2013,navy,76.7,97.15,,,,
2013,nc state,82.49,166.04,,,,
2013,nebraska,86.75,220.72,,,,
2013,nevada,78.96,124.94,,,,
2013,new mexico,78.35,122.45,,,,
2013,new mexico state,76.68,92.08,,,,
2013,north alabama,76.98,6.98,,,,
2013,north carolina,86.88,206.42,,,,
2013,north dakota,76.67,6.67,,,,
2013,north dakota state,70.0,0.0,,,,
2013,north texas,76.88,93.6,,,,
2013,northern arizona,77.3,21.71,,,,
2013,northern colorado,78.16,16.28,,,,
2013,northern illinois,76.48,108.89,,,,
2013,northern iowa,76.67,6.67,,,,
2013,northwestern,84.21,174.64,,,,
2013,notre dame,92.3,284.77,,,,
2013,ohio,77.17,96.79,,,,
2013,ohio state,93.14,303.35,,,,
2013,oklahoma,87.74,241.93,,,,
2013,oklahoma state,84.56,199.52,,,,
2013,old dominion,74.08,87.47,,,,
2013,ole miss,88.52,275.52,,,,
2013,oregon,87.73,227.16,,,,
2013,oregon state,83.8,186.6,,,,
2013,penn state,86.2,195.7,,,,
2013,pennsylvania,77.06,34.17,,,,
2013,pittsburgh,84.11,196.04,,,,
2013,portland state,76.81,6.81,,,,
2013,presbyterian,79.99,9.99,,,,
2013,purdue,82.42,162.05,,,,
2013,rhode island,70.0,0.0,,,,
2013,rice,79.74,123.22,,,,
2013,richmond,77.63,29.99,,,,
2013,robert morris,70.0,0.0,,,,
2013,rutgers,84.04,180.79,,,,
